/home/ubuntu/desktop/learning3d/asm3/main.py:356: UserWarning: 
The version_base parameter is not specified.
Please specify a compatability version level, or None.
Will assume defaults for version 1.1
  @hydra.main(config_path="./configs", config_name="sphere")
/home/ubuntu/.conda/envs/l3d/lib/python3.9/site-packages/hydra/_internal/hydra.py:119: UserWarning: Future Hydra versions will no longer change working directory at job runtime by default.
See https://hydra.cc/docs/1.2/upgrades/1.1_to_1.2/changes_to_job_working_dir/ for more information.
  ret = run_job(
/home/ubuntu/.conda/envs/l3d/lib/python3.9/site-packages/torch/nn/functional.py:3060: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn("Default upsampling behavior when mode={} is changed "
{'type': 'nerf', 'n_harmonic_functions_xyz': 6, 'n_harmonic_functions_dir': 2, 'n_hidden_neurons_xyz': 128, 'n_hidden_neurons_dir': 64, 'density_noise_std': 0.0, 'n_layers_xyz': 6, 'append_xyz': [3]}
Loading dataset lego, image size=[128, 128] ...
Rescaling dataset (factor=0.16)

0it [00:00, ?it/s]
Epoch: 0000, Loss: 0.075747: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.075747: : 47it [00:06, 15.58it/s]
Epoch: 0000, Loss: 0.075747: : 49it [00:06, 15.55it/s]
Epoch: 0000, Loss: 0.151442: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.151442: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.030794: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.030794: : 49it [00:07, 15.55it/s]
Epoch: 0000, Loss: 0.030794: : 51it [00:07, 15.88it/s]
Epoch: 0000, Loss: 0.088290: : 51it [00:07, 15.88it/s]
Epoch: 0000, Loss: 0.088290: : 51it [00:07, 15.88it/s]
Epoch: 0000, Loss: 0.086434: : 51it [00:07, 15.88it/s]
Epoch: 0000, Loss: 0.086434: : 51it [00:07, 15.88it/s]
Epoch: 0000, Loss: 0.086434: : 53it [00:07, 16.08it/s]
Epoch: 0000, Loss: 0.094421: : 53it [00:07, 16.08it/s]
Epoch: 0000, Loss: 0.094421: : 53it [00:07, 16.08it/s]
Epoch: 0000, Loss: 0.109536: : 53it [00:07, 16.08it/s]
Epoch: 0000, Loss: 0.109536: : 53it [00:07, 16.08it/s]
Epoch: 0000, Loss: 0.109536: : 55it [00:07, 16.27it/s]
Epoch: 0000, Loss: 0.096522: : 55it [00:07, 16.27it/s]
Epoch: 0000, Loss: 0.096522: : 55it [00:07, 16.27it/s]
Epoch: 0000, Loss: 0.076354: : 55it [00:07, 16.27it/s]
Epoch: 0000, Loss: 0.076354: : 55it [00:07, 16.27it/s]
Epoch: 0000, Loss: 0.076354: : 57it [00:07, 11.25it/s]
Epoch: 0000, Loss: 0.056623: : 57it [00:07, 11.25it/s]
Epoch: 0000, Loss: 0.056623: : 57it [00:07, 11.25it/s]
Epoch: 0000, Loss: 0.047305: : 57it [00:07, 11.25it/s]
Epoch: 0000, Loss: 0.047305: : 57it [00:07, 11.25it/s]
Epoch: 0000, Loss: 0.047305: : 59it [00:07, 11.87it/s]
Epoch: 0000, Loss: 0.032346: : 59it [00:07, 11.87it/s]
Epoch: 0000, Loss: 0.032346: : 59it [00:07, 11.87it/s]
Epoch: 0000, Loss: 0.065457: : 59it [00:07, 11.87it/s]
Epoch: 0000, Loss: 0.065457: : 59it [00:07, 11.87it/s]
Epoch: 0000, Loss: 0.065457: : 61it [00:07, 12.40it/s]
Epoch: 0000, Loss: 0.154378: : 61it [00:07, 12.40it/s]
Epoch: 0000, Loss: 0.154378: : 61it [00:07, 12.40it/s]
Epoch: 0000, Loss: 0.097150: : 61it [00:08, 12.40it/s]
Epoch: 0000, Loss: 0.097150: : 61it [00:08, 12.40it/s]
Epoch: 0000, Loss: 0.097150: : 63it [00:08, 13.07it/s]
Epoch: 0000, Loss: 0.143867: : 63it [00:08, 13.07it/s]
Epoch: 0000, Loss: 0.143867: : 63it [00:08, 13.07it/s]
Epoch: 0000, Loss: 0.108729: : 63it [00:08, 13.07it/s]
Epoch: 0000, Loss: 0.108729: : 63it [00:08, 13.07it/s]
Epoch: 0000, Loss: 0.108729: : 65it [00:08, 13.59it/s]
Epoch: 0000, Loss: 0.066249: : 65it [00:08, 13.59it/s]
Epoch: 0000, Loss: 0.066249: : 65it [00:08, 13.59it/s]
Epoch: 0000, Loss: 0.112123: : 65it [00:08, 13.59it/s]
Epoch: 0000, Loss: 0.112123: : 65it [00:08, 13.59it/s]
Epoch: 0000, Loss: 0.112123: : 67it [00:08, 13.93it/s]
Epoch: 0000, Loss: 0.063537: : 67it [00:08, 13.93it/s]
Epoch: 0000, Loss: 0.063537: : 67it [00:08, 13.93it/s]
Epoch: 0000, Loss: 0.038864: : 67it [00:08, 13.93it/s]
Epoch: 0000, Loss: 0.038864: : 67it [00:08, 13.93it/s]
Epoch: 0000, Loss: 0.038864: : 69it [00:08, 14.22it/s]
Epoch: 0000, Loss: 0.157878: : 69it [00:08, 14.22it/s]
Epoch: 0000, Loss: 0.157878: : 69it [00:08, 14.22it/s]
Epoch: 0000, Loss: 0.101773: : 69it [00:08, 14.22it/s]
Epoch: 0000, Loss: 0.101773: : 69it [00:08, 14.22it/s]
Epoch: 0000, Loss: 0.101773: : 71it [00:08, 14.25it/s]
Epoch: 0000, Loss: 0.050631: : 71it [00:08, 14.25it/s]
Epoch: 0000, Loss: 0.050631: : 71it [00:08, 14.25it/s]
Epoch: 0000, Loss: 0.095368: : 71it [00:08, 14.25it/s]
Epoch: 0000, Loss: 0.095368: : 71it [00:08, 14.25it/s]
Epoch: 0000, Loss: 0.095368: : 73it [00:08, 14.14it/s]
Epoch: 0000, Loss: 0.055894: : 73it [00:08, 14.14it/s]
Epoch: 0000, Loss: 0.055894: : 73it [00:08, 14.14it/s]
Epoch: 0000, Loss: 0.074371: : 73it [00:08, 14.14it/s]
Epoch: 0000, Loss: 0.074371: : 73it [00:08, 14.14it/s]
Epoch: 0000, Loss: 0.074371: : 75it [00:08, 14.51it/s]
Epoch: 0000, Loss: 0.112448: : 75it [00:08, 14.51it/s]
Epoch: 0000, Loss: 0.112448: : 75it [00:08, 14.51it/s]
Epoch: 0000, Loss: 0.071960: : 75it [00:09, 14.51it/s]
Epoch: 0000, Loss: 0.071960: : 75it [00:09, 14.51it/s]
Epoch: 0000, Loss: 0.071960: : 77it [00:09, 14.46it/s]
Epoch: 0000, Loss: 0.113689: : 77it [00:09, 14.46it/s]
Epoch: 0000, Loss: 0.113689: : 77it [00:09, 14.46it/s]
Epoch: 0000, Loss: 0.081414: : 77it [00:09, 14.46it/s]
Epoch: 0000, Loss: 0.081414: : 77it [00:09, 14.46it/s]
Epoch: 0000, Loss: 0.081414: : 79it [00:09, 14.49it/s]
Epoch: 0000, Loss: 0.022942: : 79it [00:09, 14.49it/s]
Epoch: 0000, Loss: 0.022942: : 79it [00:09, 14.49it/s]
Epoch: 0000, Loss: 0.059104: : 79it [00:09, 14.49it/s]
Epoch: 0000, Loss: 0.059104: : 79it [00:09, 14.49it/s]
Epoch: 0000, Loss: 0.059104: : 81it [00:09, 14.84it/s]
Epoch: 0000, Loss: 0.129494: : 81it [00:09, 14.84it/s]
Epoch: 0000, Loss: 0.129494: : 81it [00:09, 14.84it/s]
Epoch: 0000, Loss: 0.026611: : 81it [00:09, 14.84it/s]
Epoch: 0000, Loss: 0.026611: : 81it [00:09, 14.84it/s]
Epoch: 0000, Loss: 0.026611: : 83it [00:09, 15.04it/s]
Epoch: 0000, Loss: 0.046303: : 83it [00:09, 15.04it/s]
Epoch: 0000, Loss: 0.046303: : 83it [00:09, 15.04it/s]
Epoch: 0000, Loss: 0.108744: : 83it [00:09, 15.04it/s]
Epoch: 0000, Loss: 0.108744: : 83it [00:09, 15.04it/s]
Epoch: 0000, Loss: 0.108744: : 85it [00:09, 15.32it/s]
Epoch: 0000, Loss: 0.103332: : 85it [00:09, 15.32it/s]
Epoch: 0000, Loss: 0.103332: : 85it [00:09, 15.32it/s]
Epoch: 0000, Loss: 0.033149: : 85it [00:09, 15.32it/s]
Epoch: 0000, Loss: 0.033149: : 85it [00:09, 15.32it/s]
Epoch: 0000, Loss: 0.033149: : 87it [00:09, 15.47it/s]
Epoch: 0000, Loss: 0.092705: : 87it [00:09, 15.47it/s]
Epoch: 0000, Loss: 0.092705: : 87it [00:09, 15.47it/s]
Epoch: 0000, Loss: 0.100246: : 87it [00:09, 15.47it/s]
Epoch: 0000, Loss: 0.100246: : 87it [00:09, 15.47it/s]
Epoch: 0000, Loss: 0.100246: : 89it [00:09, 15.62it/s]
Epoch: 0000, Loss: 0.088227: : 89it [00:09, 15.62it/s]
Epoch: 0000, Loss: 0.088227: : 89it [00:09, 15.62it/s]
Epoch: 0000, Loss: 0.107202: : 89it [00:09, 15.62it/s]
Epoch: 0000, Loss: 0.107202: : 89it [00:09, 15.62it/s]
Epoch: 0000, Loss: 0.107202: : 91it [00:09, 15.66it/s]
Epoch: 0000, Loss: 0.096623: : 91it [00:09, 15.66it/s]
Epoch: 0000, Loss: 0.096623: : 91it [00:09, 15.66it/s]
Epoch: 0000, Loss: 0.060887: : 91it [00:10, 15.66it/s]
Epoch: 0000, Loss: 0.060887: : 91it [00:10, 15.66it/s]
Epoch: 0000, Loss: 0.060887: : 93it [00:10, 15.74it/s]
Epoch: 0000, Loss: 0.133684: : 93it [00:10, 15.74it/s]
Epoch: 0000, Loss: 0.133684: : 93it [00:10, 15.74it/s]
Epoch: 0000, Loss: 0.034354: : 93it [00:10, 15.74it/s]
Epoch: 0000, Loss: 0.034354: : 93it [00:10, 15.74it/s]
Epoch: 0000, Loss: 0.034354: : 95it [00:10, 15.44it/s]
Epoch: 0000, Loss: 0.027183: : 95it [00:10, 15.44it/s]
Epoch: 0000, Loss: 0.027183: : 95it [00:10, 15.44it/s]
Epoch: 0000, Loss: 0.083723: : 95it [00:10, 15.44it/s]
Epoch: 0000, Loss: 0.083723: : 95it [00:10, 15.44it/s]
Epoch: 0000, Loss: 0.083723: : 97it [00:10, 15.55it/s]
Epoch: 0000, Loss: 0.066260: : 97it [00:10, 15.55it/s]
Epoch: 0000, Loss: 0.066260: : 97it [00:10, 15.55it/s]
Epoch: 0000, Loss: 0.076142: : 97it [00:10, 15.55it/s]
Epoch: 0000, Loss: 0.076142: : 97it [00:10, 15.55it/s]
Epoch: 0000, Loss: 0.076142: : 99it [00:10, 15.60it/s]
Epoch: 0000, Loss: 0.041902: : 99it [00:10, 15.60it/s]
Epoch: 0000, Loss: 0.041902: : 99it [00:10, 15.60it/s]
Epoch: 0000, Loss: 0.041902: : 100it [00:10,  9.54it/s]

0it [00:00, ?it/s]
Epoch: 0001, Loss: 0.081226: : 0it [00:00, ?it/s]
Epoch: 0001, Loss: 0.081226: : 0it [00:00, ?it/s]
Epoch: 0001, Loss: 0.040549: : 0it [00:00, ?it/s]
Epoch: 0001, Loss: 0.040549: : 0it [00:00, ?it/s]
Epoch: 0001, Loss: 0.040549: : 2it [00:00, 15.73it/s]
Epoch: 0001, Loss: 0.033413: : 2it [00:00, 15.73it/s]
Epoch: 0001, Loss: 0.033413: : 2it [00:00, 15.73it/s]
Epoch: 0001, Loss: 0.045809: : 2it [00:00, 15.73it/s]
Epoch: 0001, Loss: 0.045809: : 2it [00:00, 15.73it/s]
Epoch: 0001, Loss: 0.045809: : 4it [00:00, 15.25it/s]
Epoch: 0001, Loss: 0.091599: : 4it [00:00, 15.25it/s]
Epoch: 0001, Loss: 0.091599: : 4it [00:00, 15.25it/s]
Epoch: 0001, Loss: 0.028204: : 4it [00:00, 15.25it/s]
Epoch: 0001, Loss: 0.028204: : 4it [00:00, 15.25it/s]
Epoch: 0001, Loss: 0.028204: : 6it [00:00, 15.55it/s]
Epoch: 0001, Loss: 0.100145: : 6it [00:00, 15.55it/s]
Epoch: 0001, Loss: 0.100145: : 6it [00:00, 15.55it/s]
Epoch: 0001, Loss: 0.094776: : 6it [00:00, 15.55it/s]
Epoch: 0001, Loss: 0.094776: : 6it [00:00, 15.55it/s]
Epoch: 0001, Loss: 0.094776: : 8it [00:00, 15.67it/s]
Epoch: 0001, Loss: 0.072069: : 8it [00:00, 15.67it/s]
Epoch: 0001, Loss: 0.072069: : 8it [00:00, 15.67it/s]
Epoch: 0001, Loss: 0.027414: : 8it [00:00, 15.67it/s]
Epoch: 0001, Loss: 0.027414: : 8it [00:00, 15.67it/s]
Epoch: 0001, Loss: 0.027414: : 10it [00:00, 15.79it/s]
Epoch: 0001, Loss: 0.144983: : 10it [00:00, 15.79it/s]
Epoch: 0001, Loss: 0.144983: : 10it [00:00, 15.79it/s]
Epoch: 0001, Loss: 0.076836: : 10it [00:00, 15.79it/s]
Epoch: 0001, Loss: 0.076836: : 10it [00:00, 15.79it/s]
Epoch: 0001, Loss: 0.076836: : 12it [00:00, 15.96it/s]
Epoch: 0001, Loss: 0.042204: : 12it [00:00, 15.96it/s]
Epoch: 0001, Loss: 0.042204: : 12it [00:00, 15.96it/s]
Epoch: 0001, Loss: 0.057187: : 12it [00:00, 15.96it/s]
Epoch: 0001, Loss: 0.057187: : 12it [00:00, 15.96it/s]
Epoch: 0001, Loss: 0.057187: : 14it [00:00, 15.58it/s]
Epoch: 0001, Loss: 0.061561: : 14it [00:00, 15.58it/s]
Epoch: 0001, Loss: 0.061561: : 14it [00:00, 15.58it/s]
Epoch: 0001, Loss: 0.059359: : 14it [00:01, 15.58it/s]
Epoch: 0001, Loss: 0.059359: : 14it [00:01, 15.58it/s]
Epoch: 0001, Loss: 0.059359: : 16it [00:01, 15.49it/s]
Epoch: 0001, Loss: 0.044507: : 16it [00:01, 15.49it/s]
Epoch: 0001, Loss: 0.044507: : 16it [00:01, 15.49it/s]
Epoch: 0001, Loss: 0.028999: : 16it [00:01, 15.49it/s]
Epoch: 0001, Loss: 0.028999: : 16it [00:01, 15.49it/s]
Epoch: 0001, Loss: 0.028999: : 18it [00:01, 15.54it/s]
Epoch: 0001, Loss: 0.080455: : 18it [00:01, 15.54it/s]
Epoch: 0001, Loss: 0.080455: : 18it [00:01, 15.54it/s]
Epoch: 0001, Loss: 0.110106: : 18it [00:01, 15.54it/s]
Epoch: 0001, Loss: 0.110106: : 18it [00:01, 15.54it/s]
Epoch: 0001, Loss: 0.110106: : 20it [00:01, 15.63it/s]
Epoch: 0001, Loss: 0.092193: : 20it [00:01, 15.63it/s]
Epoch: 0001, Loss: 0.092193: : 20it [00:01, 15.63it/s]
Epoch: 0001, Loss: 0.086562: : 20it [00:01, 15.63it/s]
Epoch: 0001, Loss: 0.086562: : 20it [00:01, 15.63it/s]
